Walmart SKU,Price,In Stock,Quantity,Sold By,Last Update,Min Price
879091509,$49.92,no,Not available,Walmart,2018-01-06 11:48 PM,$49.97
879091509,$49.92,no,Not available,Walmart,2018-01-06 11:48 PM,$49.97
879091509,$49.92,no,Not available,Walmart,2018-01-06 11:48 PM,$49.97
52391200,$5.00 ,no,Not  available,Walmart,1/5/2018 20:11,$None 
879091509,$49.92,no,Only  6  left!,Walmart,1/6/2018 21:36,$49.97
879091509,$49.92,no,Only  1  left!,Walmart,1/6/2018 21:36,$49.97
879091509,$49.92,no,Not  available,Walmart,2018-01-06  11:32  PM,$49.97 
53990867,$79.98,no,Available,Walmart,2018-01-06  11:33  PM,$99.0 
53990867,$79.98,no,Available,Walmart,2018-01-06  11:35  PM,$99.0 
53990867,$79.98,no,Available,Walmart,2018-01-06  11:40  PM,$99.0 
53990867,$79.98,no,Available,Walmart,2018-01-06  11:43  PM,$99.0 
 701162963,$38.82,no,Not  available,Walmart,2018-01-06  11:50  PM,$49.99 
